Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
BAL POST - Create Sandwich,1462,7,0,50,2.89,0.000%,24.77588,3.19,10.91,132.0
C# POST - Create Sandwich,1444,9,0,57,4.33,0.000%,24.54739,5.27,10.81,220.0
TOTAL,2906,8,0,57,3.80,0.000%,49.20337,8.44,21.67,175.7
